Ticker,GICS SubIndustry,Unpriced Operating Risk,Unpriced Value Score,Unpriced Quality Score,Composite Score,Score,EV/EBITDA,ROIC,Unlevered Beta
CW,2010,64.0445844259188,56.05491397057831,46.367219251104736,55.48890588253395,40.0,64834314.660618424,0.027088193,1.118437426007893
EBF,2020,64.86938248748642,54.39063458671369,47.19336735831186,55.48446147750399,60.0,12388057.822296388,0.041206758,0.4301665577233223
ALCO,3020,60.055907271638176,62.58503947424609,43.71490644754299,55.45195106447576,67.0,-39804456.35795368,-0.202313984,0.32994941347022905
SLGN,1510,65.5796124116086,55.131341627614255,45.53098403820241,55.413979359141756,67.0,5421882.209988203,0.015194537,0.6026528735342462
IDYA,3520,61.26791906329586,57.73067130677079,47.20491227706398,55.40116754904354,28.0,-16409311.757006465,-0.102458385,1.4921099902854935
MUSA,2550,65.80919707803709,54.21666407722845,46.155681623998014,55.393847593087855,67.0,17066942.896932792,0.045169502,0.4794257463381326
DSGR,2010,62.86398769958869,57.1066721355798,46.19249175590119,55.38771719702322,40.0,15747131.033566259,0.003599391,1.1985195825103638
ECL,1510,65.20771567546934,54.52688927596374,46.393371242725934,55.375992064719675,67.0,25769262.285235368,0.031780697,0.625749354553219
CENTA,3030,62.78440200489897,57.59894274347233,45.655520764725466,55.34628850436559,67.0,4409522.61684139,0.026094809,0.429452388907945
APG,2010,63.56262510157216,56.47475505952647,45.927636495407356,55.32167221883534,42.0,31777168.75166297,0.012561175,1.1042814953169124
BWB,4010,61.03342402801641,58.617275531122864,46.241149324329506,55.29728296115626,8.0,7375994.582043445,0.02958485,1.0611367121001474
CXDO,4510,60.097408511894294,57.87308680086971,47.903898955476016,55.29146475608001,42.0,48598576.84664949,0.016502488,1.7523971782281995
ARCB,2030,57.41788218929575,58.53423955886466,49.885856974581934,55.279326240914116,40.0,13465661.461919159,0.014145192,1.5923706749245756
REFI,4020,64.72417126718389,55.61571619911733,45.35109437515955,55.230327280486925,60.0,11892430.330756465,0.020241937,0.5075705685976488
MASS,4520,68.22110574574727,57.03687806116544,40.41193568390976,55.223306496940815,40.0,-20839683.52711024,-0.110054641,0.9279239554131666
CHRS,3520,50.61589852327704,52.99469673325996,61.82303724840204,55.14454416831301,67.0,-2262826.798557265,1.711250225,1.4530937226822662
CASH,4010,43.18964337301648,51.20819421152695,70.90547061482073,55.10110273312139,78.0,2949512.170401932,0.399906837,0.9927624548296942
UNTY,4010,59.73297944671301,57.25252913762103,48.31350199676294,55.09967019369899,20.0,7031145.376571211,0.069821946,0.9975541652418224
EXPD,2030,67.33990891567382,52.47944457323519,45.465568102841374,55.0949738639168,67.0,29437560.092590097,0.061163048,0.5684913336857843
BJ,3010,64.63809402275055,53.48448072296029,47.156808137634094,55.09312762778165,67.0,20990257.550821915,0.033809879,0.15516262916344387
CWT,5510,63.066332558885186,55.026842291751834,47.15941083054641,55.084195227061144,67.0,18347318.045785226,0.008561863,0.10296717216200264
CME,4020,68.13875513702914,53.72693150895309,43.364953035343426,55.07687989377522,67.0,27198169.98413797,0.007400187,0.0325235423774699
ZBH,3510,64.64257200848891,54.88370173675206,45.69940479374344,55.07522617966148,60.0,15550432.353645094,0.007569944,0.42825067130469524
MCBS,4010,60.673253917110024,58.25012718532878,46.255847873345175,55.059742991928,10.0,7929698.435171968,0.032725087,1.0547696295461135
CPK,5510,62.91831253629986,55.121049489155,47.09737343191319,55.04557848578935,67.0,16598334.660998352,0.008307034,0.11218241775515511
